Steps,array0,array1,array2
556,500,515,739
557,500,516,739
558,500,515,738
559,501,515,737
560,500,515,738
561,500,515,738
562,501,516,738
563,500,515,738
564,500,515,738
565,500,516,738
566,500,515,739
567,501,516,738
568,500,515,739
569,500,516,738
570,500,516,739
571,500,516,738
572,500,515,739
573,500,515,738
574,500,516,738
575,500,516,737
576,500,515,738
577,500,516,739
578,500,516,738
579,500,515,738
580,500,516,738
581,500,516,738
582,501,516,738
583,500,515,738
584,501,515,738
585,500,516,737
586,499,515,738
587,502,515,738
588,502,516,738
589,498,516,738
590,500,516,738
591,501,516,738
592,500,516,738
593,500,516,739
594,501,515,738
595,501,515,738
596,501,515,738
597,501,514,739
598,502,515,738
599,501,516,738
600,501,516,738
601,502,516,738
602,500,515,738
603,501,515,739
604,501,515,738
605,501,516,739
606,501,515,739
607,501,515,738
608,501,516,737
609,504,515,739
610,500,516,741
611,501,517,740
612,504,522,746
613,497,530,740
614,499,523,730
615,496,532,735
616,503,539,740
617,501,536,738
618,495,541,740
619,498,550,733
620,499,556,737
621,497,556,737
622,497,558,728
623,499,563,735
624,499,571,731
625,502,576,731
626,498,578,725
627,501,587,729
628,497,599,718
629,498,598,720
630,500,607,718
631,498,612,714
632,500,612,718
633,499,617,712
634,500,623,709
635,504,630,707
636,502,630,708
637,507,638,702
638,496,634,704
639,499,640,705
640,494,640,696
641,494,642,700
642,493,650,693
643,497,650,694
644,499,651,690
645,500,656,686
646,498,660,688
647,500,664,680
648,499,667,675
649,498,667,678
650,500,671,674
651,501,678,664
652,497,678,665
653,500,685,659
654,500,685,658
655,499,686,655
656,500,688,655
657,500,691,650
658,499,692,646
659,501,697,640
660,500,699,640
661,498,696,648
662,499,699,635
663,499,702,629
664,499,702,635
665,500,699,639
666,504,707,624
667,497,703,621
668,502,704,632
669,502,704,631
670,500,704,631
671,500,705,628
672,500,708,623
673,500,708,621
674,500,709,620
675,500,708,617
676,499,713,613
677,499,713,607
678,506,715,604
679,497,711,595
680,503,713,593
681,501,728,590
682,502,700,579
683,499,726,579
684,494,725,584
685,503,718,584
686,497,722,573
687,497,723,574
688,499,723,575
689,501,725,565
690,501,728,566
691,501,723,568
692,501,724,560
693,499,724,558
694,502,726,562
695,501,726,557
696,501,725,557
697,501,725,557
698,502,726,552
699,502,727,553
700,501,724,553
701,502,725,548
702,501,727,548
703,501,726,549
704,500,724,543
705,500,728,546
706,501,726,546
707,501,726,546
708,502,725,546
709,501,726,546
710,502,727,545
711,502,726,545
712,501,726,547
713,501,726,546
714,501,725,547
715,501,725,546
716,501,725,546
717,501,727,547
718,501,726,547
719,501,726,547
720,501,726,547
721,501,725,547
722,501,726,548
723,502,726,546
724,501,726,547
725,501,726,546
726,501,726,547
727,501,726,547
728,501,727,547
729,501,726,546
730,501,727,547
731,501,726,547
732,501,726,546
733,501,726,547
734,501,727,545
735,502,727,545
736,501,725,551
737,502,727,551
738,501,726,551
739,501,726,552
740,501,725,554
741,501,724,558
742,501,725,558
743,502,725,558
744,500,724,562
745,500,724,565
746,501,724,569
747,501,722,576
748,500,723,578
749,500,722,580
750,502,719,589
751,505,716,597
752,502,715,601
753,499,715,603
754,500,713,611
755,500,712,608
756,499,707,622
757,506,706,621
758,508,702,627
759,494,696,643
760,490,696,642
761,494,691,652
762,502,692,649
763,499,685,656
764,498,677,664
765,500,669,667
766,499,674,669
767,497,662,675
768,498,645,686
769,502,652,690
770,506,630,708
771,507,609,714
772,520,610,729
773,489,600,734
774,496,584,731
775,498,584,728
776,495,573,722
777,498,569,722
778,496,565,728
779,501,543,743
780,501,538,745
781,502,536,739
782,503,536,731
783,500,524,736
784,499,524,748
785,500,522,734
786,498,518,739
787,495,515,752
788,496,515,738
789,499,515,737
790,498,515,737
791,499,515,738
792,499,515,738
793,499,515,738
794,499,513,738
795,488,517,737
796,505,520,741
797,502,515,738
798,500,515,739
799,500,516,734
800,498,518,739
801,501,516,737
802,500,515,738
803,501,516,739
804,500,515,738
805,501,515,738
806,500,515,739
807,500,515,739
808,500,515,738
809,501,515,738
810,500,515,738
811,501,516,738
812,500,516,738
813,501,515,738
814,500,516,738
815,501,515,738
816,500,515,738
817,500,515,738
818,501,515,738
819,501,515,739
820,500,515,739
821,500,516,738
822,501,515,738
823,501,516,738
824,500,515,738
825,501,516,738
826,501,515,738
827,500,516,738
828,501,515,738
829,501,516,737
830,500,515,738
831,501,516,738
832,500,515,738
833,500,516,737
834,500,516,738
835,501,516,737
836,500,515,738
837,501,516,739
838,501,515,739
839,500,516,738
840,500,516,738
841,501,516,738
842,501,516,739
843,500,515,738
844,501,516,738
845,501,515,738
846,500,516,739
847,500,515,738
848,500,516,738
849,501,515,739
850,500,515,738
851,501,516,738
852,501,516,738
853,501,515,738
854,501,515,738
855,500,515,738
856,500,515,738
857,501,515,738
858,501,516,737
859,500,515,738
860,500,515,737
861,500,515,737
862,501,515,739
863,501,515,738
864,500,516,737
865,500,515,737
866,501,516,738
867,499,516,737
868,501,516,738
869,500,515,738
870,501,516,739
871,500,515,738
872,500,515,738
873,500,515,738
874,501,515,739
875,500,515,738
876,501,516,738
877,501,515,738
878,501,516,738
879,501,515,738
880,501,515,738
881,500,515,738
882,500,516,738
883,500,515,740
884,500,515,739
885,500,516,738
886,500,516,737
887,501,515,738
888,500,515,738
889,501,515,739
890,500,515,738
891,500,515,737
892,500,515,741
893,500,516,737
894,501,515,738
895,500,515,738
896,501,515,739
897,500,515,738
898,500,516,738
899,500,515,739
900,500,515,737
901,501,516,738
902,500,515,738
903,501,516,737
904,501,515,738
905,499,515,737
906,515,511,739
907,502,514,738
908,501,515,738
909,499,516,739
910,504,515,739
911,501,514,737
912,510,522,739
913,509,517,739
914,495,511,738
915,487,509,737
916,498,516,742
917,501,538,745
918,500,543,750
919,501,537,750
920,509,539,750
921,512,544,750
